Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-10.00022329	-0.01574803	1.15766500
-10.00001529	-0.01574803	1.17347400
-9.99980729	-0.01574803	1.17347400
-9.99959929	-0.01574803	1.15766500
-9.99939129	-0.01574803	1.15766500
-9.99918329	-0.01574803	1.15766500
-9.99897529	-0.01574803	1.15766500
-9.99876729	-0.01574803	1.17347400
-9.99855929	-0.01574803	1.17347400
-9.99835129	-0.01574803	1.17347400
-9.99814329	-0.01574803	1.17347400
-9.99793529	-0.01574803	1.17347400
-9.99772729	-0.01574803	1.17347400
-9.99751929	-0.01574803	1.15766500
-9.99731129	-0.01574803	1.15766500
-9.99710329	-0.01574803	1.15766500
-9.99689529	-0.01574803	1.15766500
-9.99668729	-0.01574803	1.15766500
-9.99647929	-0.01574803	1.15766500
-9.99627129	-0.01574803	1.15766500
-9.99606329	-0.01574803	1.17347400
-9.99585529	-0.01574803	1.17347400
-9.99564729	-0.01574803	1.15766500
-9.99543929	-0.01574803	1.15766500
-9.99523129	-0.01574803	1.15766500
-9.99502329	-0.01574803	1.15766500
-9.99481529	-0.01574803	1.17347400
-9.99460729	-0.01574803	1.15766500
-9.99439929	-0.01574803	1.15766500
-9.99419129	-0.01574803	1.15766500
-9.99398329	-0.01574803	1.15766500
-9.99377529	-0.01574803	1.15766500
-9.99356729	-0.01574803	1.15766500
-9.99335929	-0.01574803	1.15766500
-9.99315129	-0.01574803	1.15766500
-9.99294329	-0.01574803	1.15766500
-9.99273529	-0.03155758	1.15766500
-9.99252729	-0.01574803	1.15766500
-9.99231929	-0.03155758	1.15766500
-9.99211129	-0.01574803	1.15766500
-9.99190329	-0.01574803	1.15766500
-9.99169529	-0.01574803	1.15766500
-9.99148729	-0.01574803	1.15766500
-9.99127929	-0.01574803	1.15766500
-9.99107129	-0.01574803	1.15766500
-9.99086329	-0.01574803	1.15766500
-9.99065529	-0.01574803	1.15766500
-9.99044729	-0.01574803	1.15766500
-9.99023929	-0.03155758	1.15766500
-9.99003129	-0.01574803	1.15766500
-9.98982329	-0.03155758	1.15766500
-9.98961529	-0.01574803	1.15766500
-9.98940729	-0.01574803	1.15766500
-9.98919929	-0.03155758	1.15766500
-9.98899129	-0.03155758	1.15766500
-9.98878329	-0.03155758	1.15766500
-9.98857529	-0.01574803	1.15766500
-9.98836729	-0.03155758	1.15766500
-9.98815929	-0.03155758	1.15766500
-9.98795129	-0.03155758	1.15766500
-9.98774329	-0.03155758	1.15766500
-9.98753529	-0.03155758	1.15766500
-9.98732729	-0.03155758	1.15766500
-9.98711929	-0.03155758	1.15766500
-9.98691129	-0.03155758	1.15766500
-9.98670329	-0.03155758	1.15766500
-9.98649529	-0.03155758	1.15766500
-9.98628729	-0.03155758	1.15766500
-9.98607929	-0.03155758	1.15766500
-9.98587129	-0.03155758	1.14179400
-9.98566329	-0.03155758	1.14179400
-9.98545529	-0.03155758	1.15766500
-9.98524729	-0.03155758	1.15766500
-9.98503929	-0.03155758	1.14179400
-9.98483129	-0.03155758	1.15766500
-9.98462329	-0.03155758	1.14179400
-9.98441529	-0.03155758	1.15766500
-9.98420729	-0.03155758	1.15766500
-9.98399929	-0.03155758	1.15766500
-9.98379129	-0.03155758	1.15766500
-9.98358329	-0.03155758	1.15766500
-9.98337529	-0.03155758	1.15766500
-9.98316729	-0.03155758	1.15766500
-9.98295929	-0.03155758	1.15766500
-9.98275129	-0.03155758	1.14179400
-9.98254329	-0.03155758	1.14179400
-9.98233529	-0.03155758	1.15766500
-9.98212729	-0.03155758	1.15766500
-9.98191929	-0.03155758	1.15766500
-9.98171129	-0.03155758	1.14179400
-9.98150329	-0.03155758	1.14179400
-9.98129529	-0.03155758	1.14179400
-9.98108729	-0.03155758	1.15766500
-9.98087929	-0.03155758	1.15766500
-9.98067129	-0.03155758	1.14179400
-9.98046329	-0.03155758	1.14179400
-9.98025529	-0.03155758	1.15766500
-9.98004729	-0.03155758	1.15766500
-9.97983929	-0.03155758	1.15766500
-9.97963130	-0.03155758	1.14179400
-9.97942330	-0.03155758	1.14179400
-9.97921530	-0.03155758	1.14179400
-9.97900730	-0.03155758	1.14179400
-9.97879930	-0.03155758	1.14179400
-9.97859130	0.00000000	1.23695900
-9.97838330	-0.01574803	1.18934500
-9.97817530	-0.03155758	1.14179400
-9.97796730	-0.03155758	1.15766500
-9.97775930	-0.03155758	1.14179400
-9.97755130	-0.03155758	1.14179400
-9.97734330	-0.03155758	1.14179400
-9.97713530	-0.03155758	1.14179400
-9.97692730	-0.03155758	1.14179400
-9.97671930	-0.04736713	1.12592300
